parameter,value,A,B,C,C - A,ordering A<=B<=C preserved
admissible age scale,0.5,0.121,0.181,0.272,0.151,yes
admissible age scale,0.75,0.146,0.218,0.315,0.170,yes
admissible age scale,1.0,0.192,0.280,0.398,0.206,yes
admissible age scale,1.5,0.263,0.362,0.473,0.210,yes
admissible age scale,2.0,0.333,0.412,0.523,0.189,yes
link degradation kappa,0.3,0.167,0.217,0.236,0.069,yes
link degradation kappa,0.4,0.192,0.242,0.339,0.148,yes
link degradation kappa,0.5,0.192,0.280,0.398,0.206,yes
link degradation kappa,0.7,0.217,0.434,0.525,0.309,yes
link degradation kappa,0.9,0.308,0.443,0.534,0.225,yes
worker reliability q,0.3,0.192,0.280,0.385,0.193,yes
worker reliability q,0.4,0.192,0.280,0.391,0.200,yes
worker reliability q,0.5,0.192,0.280,0.398,0.206,yes
worker reliability q,0.7,0.192,0.280,0.410,0.218,yes
worker reliability q,0.9,0.192,0.280,0.423,0.231,yes
"time step, min",1,0.192,0.280,0.413,0.221,yes
"time step, min",2,0.192,0.285,0.415,0.223,yes
"time step, min",5,0.192,0.280,0.398,0.206,yes
"time step, min",10,0.192,0.288,0.379,0.188,yes
